Name,HDOP,Speed,COG,Alt,Latitude,Longitude
2016-03-24 15:57:46 UTC,"1.2","0","0     
",750.500,-79.127,38.690
2016-03-24 15:57:47 UTC,"0.9","8.7","266",737.300,-79.127,38.690
2016-03-24 15:57:48 UTC,"0.9","15.8","266",732.900,-79.127,38.690
2016-03-24 15:57:49 UTC,"0.9","19.7","278",732.500,-79.127,38.690
2016-03-24 15:57:50 UTC,"1.2","19.8","285",731.900,-79.127,38.690
2016-03-24 15:57:52 UTC,"1.2","22","278",726.400,-79.127,38.690
2016-03-24 15:57:53 UTC,"0.9","22.1","281",726.100,-79.128,38.690
2016-03-24 15:57:54 UTC,"0.9","19.2","282",727.300,-79.128,38.690
2016-03-24 15:57:55 UTC,"0.9","15","277",727.300,-79.128,38.690
2016-03-24 15:57:56 UTC,"0.9","11.4","265",727.400,-79.128,38.690
2016-03-24 15:57:57 UTC,"0.9","16.7","234",724.700,-79.128,38.690
2016-03-24 15:57:58 UTC,"0.9","22.5","215",723.300,-79.128,38.690
2016-03-24 15:58:00 UTC,"0.9","21.9","213",722.300,-79.128,38.690
2016-03-24 15:58:01 UTC,"1.2","17.1","213",720.500,-79.128,38.690
2016-03-24 15:58:02 UTC,"0.9","16.3","217",718.300,-79.128,38.690
2016-03-24 15:58:03 UTC,"0.9","17.4","210",718.600,-79.128,38.689
2016-03-24 15:58:04 UTC,"0.9","17.3","209",718.500,-79.128,38.689
2016-03-24 15:58:05 UTC,"0.9","17.2","214",717.900,-79.128,38.689
2016-03-24 15:58:06 UTC,"0.9","16.5","219",717.500,-79.128,38.689
2016-03-24 15:58:07 UTC,"0.9","16.2","221",717.300,-79.128,38.689
2016-03-24 15:58:08 UTC,"0.9","17.5","229",716.500,-79.128,38.689
2016-03-24 15:58:10 UTC,"0.9","18.7","251",715.400,-79.129,38.689
2016-03-24 15:58:11 UTC,"0.9","18.3","257",712.100,-79.129,38.689
2016-03-24 15:58:12 UTC,"0.9","18.9","255",710.200,-79.129,38.689
